churn_event_id,account_id,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text,churn_month,churn_year,churn_month_label,churn_category
C-816288,A-c37cab,2024-10-27,pricing,4.03,0,0,0,switched to competitor,10,2024,2024-10,OTHER
C-5a81e7,A-37f969,2024-06-25,support,96.45,1,0,0,,6,2024,2024-06,SUPPORT
C-a174be,A-b07346,2024-11-12,budget,0.0,0,0,0,missing features,11,2024,2024-11,PRICING
C-accb39,A-1e50e0,2023-11-01,budget,54.94,0,0,0,switched to competitor,11,2023,2023-11,PRICING
C-92f889,A-956988,2024-12-30,unknown,0.0,0,1,1,too expensive,12,2024,2024-12,OTHER
C-a8ac26,A-b20d99,2024-03-04,features,0.0,0,0,0,missing features,3,2024,2024-03,PRODUCT
C-2e2966,A-526d93,2024-07-10,features,34.4,1,0,0,,7,2024,2024-07,PRODUCT
C-ee531b,A-751bd4,2024-09-22,budget,0.0,0,0,0,,9,2024,2024-09,PRICING
C-e6a0f0,A-ccabf0,2024-10-31,features,0.0,0,0,0,too expensive,10,2024,2024-10,PRODUCT
C-9328ba,A-0a62f5,2024-10-10,features,0.0,0,0,0,switched to competitor,10,2024,2024-10,PRODUCT
C-c89493,A-3ce5b8,2024-09-18,features,261.49,0,0,0,too expensive,9,2024,2024-09,PRODUCT
C-c54ef0,A-3b5cd1,2024-08-30,unknown,77.87,0,0,0,missing features,8,2024,2024-08,OTHER
C-bb3556,A-bcf664,2024-08-08,competitor,0.0,0,0,0,,8,2024,2024-08,COMPETITION
C-875dc5,A-b9f5b1,2023-07-21,features,0.0,0,0,0,switched to competitor,7,2023,2023-07,PRODUCT
C-c8f7b4,A-0dbdc6,2024-04-14,pricing,175.02,0,0,0,too expensive,4,2024,2024-04,OTHER
C-865f19,A-c9bb3e,2024-07-29,pricing,0.0,0,0,0,switched to competitor,7,2024,2024-07,OTHER
C-102614,A-96e141,2024-07-22,budget,43.53,0,0,0,too expensive,7,2024,2024-07,PRICING
