subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag,duration_days,duration_months,subscription_status
S-8cec59,A-3c1a3f,2023-12-23,2024-04-12,ENTERPRISE,14,2786,33432,0,0,0,1,monthly,1,111.0,3.7,CHURNED
S-0f6f44,A-9b9fe9,2024-06-11,,PRO,17,833,9996,0,0,0,0,monthly,1,,,ACTIVE
S-51c0d1,A-659280,2024-11-25,,ENTERPRISE,62,0,0,1,1,0,0,annual,0,,,UPGRADED
S-f81687,A-e7a1e2,2024-11-23,2024-12-13,ENTERPRISE,5,995,11940,0,0,0,1,monthly,1,20.0,0.7,CHURNED
S-cff5a2,A-ba6516,2024-01-10,,ENTERPRISE,27,5373,64476,0,0,0,0,monthly,1,,,ACTIVE
S-4b9b13,A-fa2041,2024-08-13,,PRO,15,735,8820,0,0,0,0,monthly,1,,,ACTIVE
S-dceac6,A-417d2f,2023-12-30,,ENTERPRISE,4,796,9552,0,0,0,0,annual,1,,,ACTIVE
S-8cad7b,A-5f2961,2024-12-23,,BASIC,16,304,3648,0,0,0,0,annual,1,,,ACTIVE
S-24796e,A-cc8c8f,2024-11-27,,ENTERPRISE,23,4577,54924,0,0,0,0,annual,0,,,ACTIVE
S-d0c344,A-80eeb6,2024-10-27,,PRO,22,1078,12936,0,0,0,0,annual,0,,,ACTIVE
S-477506,A-f03140,2024-02-06,,PRO,27,1323,15876,0,0,0,0,annual,1,,,ACTIVE
S-79a9e1,A-3a5ad8,2024-12-25,,ENTERPRISE,22,0,0,1,0,0,0,annual,1,,,ACTIVE
S-59dc4b,A-f17767,2023-09-17,,PRO,26,1274,15288,0,1,1,0,monthly,1,,,UPGRADED
S-7acd8b,A-7920cc,2024-07-17,,BASIC,39,741,8892,0,0,0,0,annual,1,,,ACTIVE
S-428e9a,A-8ae3fc,2024-10-12,,ENTERPRISE,88,0,0,1,0,0,0,monthly,1,,,ACTIVE
S-486088,A-0cc442,2024-09-18,,PRO,45,2205,26460,0,0,0,0,monthly,1,,,ACTIVE
S-13939b,A-86902e,2023-07-21,2024-08-03,PRO,34,0,0,1,0,0,1,monthly,1,379.0,12.6,CHURNED
S-9333c5,A-ef84cf,2024-06-06,2024-08-13,BASIC,8,152,1824,0,0,0,1,annual,0,68.0,2.3,CHURNED
S-37e3ad,A-b30291,2024-04-25,,BASIC,5,95,1140,0,0,0,0,monthly,1,,,ACTIVE
S-b17d04,A-e19ff6,2024-03-06,,PRO,8,392,4704,0,0,0,0,monthly,1,,,ACTIVE
S-c27134,A-dec005,2024-03-31,,PRO,21,0,0,1,0,0,0,monthly,1,,,ACTIVE
S-3bd427,A-2e3bad,2024-12-04,2024-12-27,BASIC,61,1159,13908,0,0,0,1,monthly,1,23.0,0.8,CHURNED
S-82989b,A-f5641b,2024-11-30,,BASIC,31,589,7068,0,0,0,0,monthly,1,,,ACTIVE
S-082b15,A-aa9511,2024-02-09,,ENTERPRISE,97,19303,231636,0,0,0,0,annual,1,,,ACTIVE
S-434140,A-075038,2024-02-25,,PRO,17,833,9996,0,0,0,0,annual,1,,,ACTIVE
S-c07ede,A-cea1f0,2024-10-07,,PRO,8,392,4704,0,0,0,0,annual,0,,,ACTIVE
S-287914,A-a1b80b,2024-08-15,,PRO,16,784,9408,0,0,0,0,annual,1,,,ACTIVE
S-b3bd43,A-b2225d,2024-11-03,,PRO,50,2450,29400,0,0,0,0,monthly,0,,,ACTIVE
S-4c82da,A-b9eed8,2024-08-01,,PRO,11,539,6468,0,0,0,0,monthly,0,,,ACTIVE
S-c75159,A-bcf87c,2024-08-22,2024-09-28,ENTERPRISE,31,6169,74028,0,0,0,1,monthly,1,37.0,1.2,CHURNED
S-b5643b,A-9f9299,2024-06-11,,ENTERPRISE,28,5572,66864,0,0,0,0,annual,0,,,ACTIVE
S-49a9aa,A-10b8f2,2023-06-16,,BASIC,51,969,11628,0,0,0,0,annual,1,,,ACTIVE
S-2877e6,A-95b24a,2024-06-28,,ENTERPRISE,38,0,0,1,1,1,0,monthly,1,,,UPGRADED
S-8c10c1,A-0651a4,2024-12-25,,ENTERPRISE,65,12935,155220,0,0,0,0,annual,1,,,ACTIVE
S-d7d398,A-fb186e,2024-12-28,,ENTERPRISE,29,0,0,1,0,0,0,annual,1,,,ACTIVE
S-ddad91,A-40906c,2024-06-21,,ENTERPRISE,92,0,0,1,0,0,0,annual,0,,,ACTIVE
S-6762fa,A-40a557,2024-02-12,,ENTERPRISE,16,3184,38208,0,0,0,0,annual,1,,,ACTIVE
S-bb1cf1,A-3a5ad8,2024-09-07,,ENTERPRISE,9,0,0,1,1,0,0,monthly,0,,,UPGRADED
S-a805a5,A-2789e3,2024-09-18,,BASIC,33,627,7524,0,0,0,0,monthly,1,,,ACTIVE
S-da0a69,A-49b828,2023-05-11,,PRO,6,294,3528,0,0,0,0,monthly,1,,,ACTIVE
S-59c5d7,A-c16b88,2024-10-19,,BASIC,35,665,7980,0,1,0,0,monthly,1,,,UPGRADED
S-d3faae,A-5c9849,2024-11-12,,BASIC,19,361,4332,0,0,0,0,monthly,1,,,ACTIVE
S-73a4e4,A-993085,2024-09-09,,PRO,31,1519,18228,0,0,0,0,monthly,1,,,ACTIVE
